Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att,po,a,e,fld%
Darrien Williams,.350,25-23,80,18,28,5,2,5,13,52,.650,13,2,23,1,.448,1,1,3-4,35,12,5,.904
Shannon Washington,.323,30-27,96,17,31,4,4,6,30,61,.635,14,3,29,2,.414,3,0,0-1,4,0,0,1.000
Angel Avalos,.297,41-41,148,28,44,6,0,6,30,68,.459,14,4,22,2,.369,2,0,0-0,261,13,4,.986
Cody Den Beste,.287,35-33,122,15,35,3,3,2,21,50,.410,9,6,29,1,.362,1,2,9-12,96,2,2,.980
Nick Gurka,.282,35-33,124,25,35,7,0,2,16,48,.387,11,4,37,1,.360,0,1,9-12,80,8,4,.957
Brashad Jones,.253,34-27,91,19,23,4,0,2,13,33,.363,9,1,26,1,.327,0,6,7-8,48,40,10,.898
Kevin Macias,.241,39-39,133,32,32,6,1,0,14,40,.301,26,4,16,3,.380,0,7,2-3,66,83,9,.943
Josh Wells,.234,27-18,77,10,18,4,0,1,6,25,.325,5,4,22,3,.314,0,2,1-1,28,43,12,.855
----------
Carson Lee,.385,5-4,13,2,5,2,0,1,4,10,.769,1,0,4,0,.429,0,0,0-0,3,0,0,1.000
Marlan Chatman,.364,9-2,11,2,4,2,0,0,5,6,.545,0,1,6,0,.417,0,0,0-0,2,0,1,.667
Gabriel Rodriguez,.258,12-8,31,3,8,1,0,0,4,9,.290,6,1,7,3,.395,0,0,2-2,19,3,0,1.000
Edgar Sanchez,.255,16-14,51,4,13,1,0,1,2,17,.333,1,1,9,1,.283,0,1,1-1,20,40,7,.896
David Drake,.210,24-17,62,9,13,1,0,1,2,17,.274,6,3,21,0,.310,0,0,3-5,27,4,5,.861
Joseph Mack,.200,24-16,60,3,12,6,0,0,4,18,.300,4,0,17,1,.250,0,2,0-2,30,10,5,.889
Jaron Hicks,.196,21-17,56,8,11,1,0,1,8,15,.268,10,3,16,1,.348,0,1,0-0,108,15,8,.939
Josh Jefferson,.196,22-17,51,6,10,0,0,0,3,10,.196,6,4,11,2,.328,0,3,3-5,36,32,7,.907
Kevin Lahaie,.143,20-7,28,4,4,0,0,0,3,4,.143,8,1,8,0,.351,0,0,2-2,20,0,0,1.000
Kaylor Lewis,.136,11-10,22,5,3,0,0,0,2,3,.136,5,2,7,1,.345,0,0,0-0,4,9,7,.650
Santiago Rojas,.125,10-3,16,3,2,1,0,0,4,3,.188,2,2,4,0,.300,0,0,0-1,15,5,1,.952
Thi Mai,.117,28-22,60,4,7,3,0,0,4,10,.167,10,4,10,4,.280,1,1,0-0,116,20,8,.944
Totals,.254,42-42,1332,217,338,57,10,28,188,499,.375,160,50,324,27,.354,8,27,42-59,1024,365,101,.932
Opponents,.332,42-42,1417,425,470,108,16,33,365,709,.500,259,67,230,14,.449,29,36,126-149,1070,470,47,.970
